origin_x,origin_y
5450,0.89055637
5451,0.8893212
5452,0.88882603
5453,0.88919977
5454,0.89041785
5455,0.8923988
5456,0.89499302
5457,0.8981247
5458,0.90155536
5459,0.90511971
5460,0.90850531
5461,0.91163727
5462,0.9142492
5463,0.91621782
5464,0.91742547
5465,0.91771253
5466,0.91713811
5467,0.91575171
5468,0.91366937
5469,0.91093421
5470,0.90767043
5471,0.90417896
5472,0.90060126
5473,0.89721986
5474,0.89420866
5475,0.89173432
5476,0.89001783
5477,0.88897139
5478,0.88878262
5479,0.8895795
5480,0.89113672
5481,0.89349544
5482,0.89638719
5483,0.89962908
5484,0.90313817
5485,0.90667855
5486,0.91002553
5487,0.91293915
5488,0.91522704
5489,0.91675583
5490,0.9174659
5491,0.91732769
5492,0.91629335
5493,0.9144927
5494,0.9118918
5495,0.90886827
5496,0.9054921
5497,0.90195436
5498,0.89852132
5499,0.895372
5500,0.89264914
5501,0.89064499
5502,0.88938322
5503,0.88899193
5504,0.88953236
5505,0.890914
5506,0.89299865
5507,0.89576832
5508,0.89906685
5509,0.90255909
5510,0.90608927
5511,0.90939074
5512,0.91237333
5513,0.91480519
5514,0.9165289
5515,0.91743521
5516,0.91742621
5517,0.91654313
5518,0.91485655
5519,0.91244635
5520,0.90949609
5521,0.90603542
5522,0.90251214
5523,0.89903751
5524,0.89582535
5525,0.8931439
5526,0.89106802
5527,0.88970652
5528,0.88917374
5529,0.88963988
5530,0.89093964
5531,0.89302229
5532,0.89577455
5533,0.89899984
5534,0.90246145
5535,0.90597554
5536,0.90932192
5537,0.91222868
5538,0.91466008
5539,0.91638027
5540,0.91718583
5541,0.91708612
5542,0.91613715
5543,0.91437335
5544,0.91186108
5545,0.90884473
5546,0.90542287
5547,0.90190552
5548,0.89850475
5549,0.89542766
5550,0.89278147
5551,0.89083192
5552,0.8897323
5553,0.88943554
5554,0.89012199
5555,0.89165118
5556,0.89388638
5557,0.89673716
5558,0.90005035
5559,0.90363502
5560,0.90705617
5561,0.91028926
5562,0.91312065
5563,0.91528642
5564,0.91675149
5565,0.9173548
5566,0.91698171
5567,0.91577838
5568,0.9136898
5569,0.91105793
5570,0.9078564
5571,0.90435637
5572,0.9007977
5573,0.89745573
5574,0.89445494
5575,0.89215677
5576,0.89047067
5577,0.88963596
5578,0.8897364
5579,0.89070466
5580,0.89249558
5581,0.89503795
5582,0.89806817
5583,0.90151511
5584,0.90502952
5585,0.90848358
5586,0.91157821
5587,0.9141032
5588,0.91593293
5589,0.91690139
5590,0.91697378
5591,0.91615138
5592,0.91448849
5593,0.91205218
5594,0.90907189
5595,0.90563157
5596,0.9021245
5597,0.8986845
5598,0.89548697
5599,0.89291142
5600,0.89101871
5601,0.88996171
5602,0.88978015
5603,0.89050739
5604,0.8921139
5605,0.89442377
5606,0.89732815
5607,0.9006703
5608,0.90418826
5609,0.90769875
5610,0.91087927
5611,0.91365402
5612,0.91566427
5613,0.91683348
5614,0.91708616
5615,0.91641552
5616,0.91480771
5617,0.91248039
5618,0.90955525
5619,0.90622931
5620,0.90266262
5621,0.89914264
5622,0.89596088
5623,0.8932479
5624,0.89124338
5625,0.89006444
