train_x,train_y
3249,0.89732588
3250,0.89408674
3251,0.89083563
3252,0.88758835
3253,0.88431446
3254,0.88104675
3255,0.8777735
3256,0.87450354
3257,0.87123398
3258,0.86796734
3259,0.86470905
3260,0.86144752
3261,0.85821483
3262,0.85499958
3263,0.85179841
3264,0.84861752
3265,0.84545485
3266,0.84231983
3267,0.83921611
3268,0.83613386
3269,0.83310765
3270,0.83011774
3271,0.82715759
3272,0.82422128
3273,0.82136635
3274,0.8185573
3275,0.81576571
3276,0.81303285
3277,0.81038051
3278,0.8077735
3279,0.80524492
3280,0.80277899
3281,0.80038449
3282,0.79804149
3283,0.79579565
3284,0.79359796
3285,0.79149624
3286,0.78945374
3287,0.7875175
3288,0.78567418
3289,0.78389981
3290,0.78220211
3291,0.78061488
3292,0.77911582
3293,0.77769944
3294,0.7763949
3295,0.77519224
3296,0.77407386
3297,0.77305313
3298,0.77214149
3299,0.77133334
3300,0.77063868
3301,0.77003222
3302,0.76954267
3303,0.76918995
3304,0.76892419
3305,0.76878022
3306,0.7687446
3307,0.76882836
3308,0.76899854
3309,0.76929697
3310,0.76969383
3311,0.77021182
3312,0.77084674
3313,0.77159907
3314,0.77244097
3315,0.77338327
3316,0.77446139
3317,0.77565069
3318,0.77694393
3319,0.77834974
3320,0.77986569
3321,0.78149155
3322,0.78322841
3323,0.78504865
3324,0.78698209
3325,0.78902667
3326,0.79115176
3327,0.79336921
3328,0.79569759
3329,0.79810571
3330,0.80060853
3331,0.80318357
3332,0.80586155
3333,0.80861156
3334,0.81143258
3335,0.81434542
3336,0.81732802
3337,0.82037801
3338,0.823487
3339,0.8266569
3340,0.82989464
3341,0.83318993
3342,0.83654914
3343,0.83993619
3344,0.84334654
3345,0.84680719
3346,0.85032155
3347,0.85385704
3348,0.85742527
3349,0.86101799
3350,0.86463331
3351,0.86825707
3352,0.87189957
3353,0.87553794
3354,0.87917607
3355,0.8828168
3356,0.88643538
3357,0.89005252
3358,0.89365215
3359,0.89722458
3360,0.90076296
3361,0.90426522
3362,0.90773367
3363,0.91115923
3364,0.91454368
3365,0.91786048
3366,0.92112275
3367,0.92432736
3368,0.92746154
3369,0.93052188
3370,0.93351234
3371,0.9364225
3372,0.93924493
3373,0.94198324
3374,0.94461939
3375,0.94717152
3376,0.94962193
3377,0.95196487
3378,0.95419485
3379,0.95632699
3380,0.95834047
3381,0.96023342
3382,0.96200469
3383,0.96365047
3384,0.96517331
3385,0.96656858
3386,0.96782969
3387,0.96895749
3388,0.96995006
3389,0.97080609
3390,0.9715279
3391,0.97210873
3392,0.97254326
3393,0.97284285
3394,0.97299887
3395,0.97301033
3396,0.97288012
3397,0.97260648
3398,0.97219227
3399,0.97163539
3400,0.97094292
3401,0.97010818
3402,0.96913328
3403,0.96801561
3404,0.96676595
3405,0.96538281
3406,0.96386535
3407,0.96222004
3408,0.96044647
3409,0.95855039
3410,0.95653136
3411,0.95439823
3412,0.95214842
3413,0.9497876
3414,0.94731543
3415,0.94474482
3416,0.94207503
3417,0.93932731
3418,0.9364801
3419,0.93355666
3420,0.93055672
3421,0.92747606
3422,0.92433149
3423,0.92112563
3424,0.91787782
3425,0.91457431
3426,0.91122999
3427,0.90784029
3428,0.90443161
3429,0.90099673
3430,0.89756164
3431,0.89410082
3432,0.89063545
3433,0.88718162
3434,0.88373013
3435,0.88030483
3436,0.87690209
3437,0.87353895
3438,0.87021341
3439,0.866933
3440,0.86370635
3441,0.86053272
3442,0.85743347
3443,0.85439733
3444,0.85144512
3445,0.84857898
3446,0.84580775
3447,0.84312554
3448,0.84054822
3449,0.83806497
3450,0.83570759
3451,0.83348028
3452,0.83137624
3453,0.82939
3454,0.82753696
3455,0.82581977
3456,0.82425517
3457,0.82282437
3458,0.82154248
3459,0.82043025
3460,0.81947918
3461,0.81865923
3462,0.81799804
3463,0.81751403
3464,0.81719848
3465,0.81704121
3466,0.81705687
3467,0.8172439
3468,0.81757131
3469,0.8180786
3470,0.81873561
3471,0.8195714
3472,0.82058196
3473,0.8217462
3474,0.82305487
3475,0.82452398
3476,0.82614671
3477,0.82792717
3478,0.82983987
3479,0.83188975
3480,0.83408858
3481,0.83642537
3482,0.83888933
3483,0.84147427
3484,0.84418662
3485,0.8470062
3486,0.84991938
3487,0.85293734
3488,0.85603683
3489,0.85922621
3490,0.86249377
3491,0.8658237
3492,0.86922309
3493,0.87266374
3494,0.87614914
3495,0.8796582
3496,0.88320754
3497,0.88677236
3498,0.89034846
3499,0.89392656
3500,0.89748661
3501,0.90102634
3502,0.9045415
3503,0.90801377
3504,0.91144365
3505,0.91482916
3506,0.91812985
3507,0.92137448
3508,0.92453891
3509,0.92760937
3510,0.93058172
3511,0.93344519
3512,0.93620231
3513,0.93884107
3514,0.94135893
3515,0.94374151
3516,0.94597987
3517,0.94807407
3518,0.95001348
3519,0.95179672
3520,0.95341253
3521,0.95485976
3522,0.95613682
3523,0.95724217
3524,0.9581693
3525,0.95891341
3526,0.95947154
3527,0.95984197
3528,0.96003061
3529,0.9600321
3530,0.9598407
3531,0.95946216
3532,0.95889774
3533,0.95814723
3534,0.95721372
3535,0.95610064
3536,0.95480823
3537,0.95333904
3538,0.95170078
3539,0.9498955
3540,0.94792872
3541,0.94580478
3542,0.94353262
3543,0.9411193
3544,0.93857636
3545,0.93590378
3546,0.93311231
3547,0.93020985
3548,0.92720369
3549,0.9241008
3550,0.9209107
3551,0.91764813
3552,0.91432116
3553,0.91094092
3554,0.90751614
3555,0.90405419
3556,0.90056897
3557,0.89708127
3558,0.89358393
3559,0.89009837
3560,0.88663711
3561,0.88321029
3562,0.87982886
3563,0.87650492
3564,0.87324618
3565,0.87007221
3566,0.86697069
3567,0.86397675
3568,0.86108696
3569,0.85832466
3570,0.8556794
3571,0.85317274
3572,0.85081808
3573,0.84861134
3574,0.84657175
3575,0.8446903
3576,0.84298856
3577,0.84145507
3578,0.84012199
3579,0.83896874
3580,0.83800761
3581,0.83724802
3582,0.83670111
3583,0.83633698
3584,0.83618046
3585,0.83623776
3586,0.8364929
3587,0.83696265
3588,0.83765278
3589,0.83853665
