x,y,,2126,0.42579658
1,0.42278501,,2127,0.42259497
2,0.4257315,,2128,0.41949899
3,0.42868162,,2129,0.41670056
4,0.43161204,,2130,0.41417599
5,0.43448487,,2131,0.41226777
6,0.43737157,,2132,0.41096804
7,0.44024939,,2133,0.41046871
8,0.44306539,,2134,0.41067534
9,0.44584675,,2135,0.41153166
10,0.44857132,,2136,0.41315457
11,0.45126851,,2137,0.41534691
12,0.453896,,2138,0.41799516
13,0.45650904,,2139,0.42081315
14,0.45903906,,2140,0.42383602
15,0.461516,,2141,0.42676281
16,0.46392897,,2142,0.42940242
17,0.46628261,,2143,0.43159427
18,0.46858375,,2144,0.43315605
19,0.47079189,,2145,0.43408788
20,0.47291081,,2146,0.43425893
21,0.4749577,,2147,0.43363765
22,0.47691766,,2148,0.43218932
23,0.47877793,,2149,0.4304237
24,0.48055213,,2150,0.42816723
25,0.48221022,,2151,0.42555554
26,0.48377008,,2152,0.42276025
27,0.48520263,,2153,0.41989826
28,0.48658622,,2154,0.41721841
29,0.48783456,,2155,0.41475441
30,0.48899739,,2156,0.41294711
31,0.49004527,,2157,0.41170343
32,0.49097168,,2158,0.41119523
33,0.49178853,,2159,0.41150009
34,0.49248666,,2160,0.41242548
35,0.49308412,,2161,0.41384771
36,0.49355935,,2162,0.41608723
37,0.49390533,,2163,0.41867205
38,0.49413583,,2164,0.42138878
39,0.49422728,,2165,0.42446671
40,0.49422331,,2166,0.42717728
41,0.49407821,,2167,0.42970696
42,0.49384991,,2168,0.43185496
43,0.49339993,,2169,0.43335503
44,0.49288982,,2170,0.43423985
45,0.49224528,,2171,0.43430824
46,0.49149456,,2172,0.43389447
47,0.49064484,,2173,0.43255249
48,0.4896335,,2174,0.43053707
49,0.48852217,,2175,0.42799371
50,0.48730932,,2176,0.42532128
51,0.48596276,,2177,0.42241784
52,0.4845079,,2178,0.41960697
53,0.48298248,,2179,0.41698989
54,0.48132335,,2180,0.4147501
55,0.47955864,,2181,0.41313307
56,0.4776963,,2182,0.41207297
57,0.47573463,,2183,0.41165198
58,0.47369588,,2184,0.41219331
59,0.47154978,,2185,0.41333272
60,0.46930798,,2186,0.41525324
61,0.4670148,,2187,0.4175719
62,0.4646316,,2188,0.42013097
63,0.46215485,,2189,0.42303858
64,0.45961088,,2190,0.42606631
65,0.45699209,,2191,0.42901335
66,0.45432918,,2192,0.43157226
67,0.45160227,,2193,0.43343508
68,0.4488463,,2194,0.43476979
69,0.44605411,,2195,0.4352799
70,0.44320525,,2196,0.43516066
71,0.4403341,,2197,0.43409419
72,0.43742574,,2198,0.43260988
73,0.43451453,,2199,0.43056241
74,0.43157946,,2200,0.42793641
75,0.42859383,,2201,0.42493528
76,0.42562799,,2202,0.42189326
77,0.42265668,,2203,0.41899403
78,0.41969151,,2204,0.41637494
79,0.4167303,,2205,0.41426188
80,0.41381419,,2206,0.41273948
81,0.4109098,,2207,0.41217061
82,0.4080646,,2208,0.41227712
83,0.40525658,,2209,0.4131505
84,0.40247431,,2210,0.41456649
85,0.3997462,,2211,0.41673917
86,0.39706899,,2212,0.41912779
87,0.39444329,,2213,0.42207358
88,0.39188395,,2214,0.42499289
89,0.3893936,,2215,0.42787209
90,0.38697179,,2216,0.43043892
91,0.38464303,,2217,0.43267106
92,0.382392,,2218,0.43404644
93,0.3802534,,2219,0.43494463
94,0.37820519,,2220,0.43502896
95,0.37624097,,2221,0.43438769
96,0.37441342,,2222,0.43293932
97,0.37269683,,2223,0.4309064
98,0.37108495,,2224,0.42844431
99,0.36958245,,2225,0.4256517
100,0.36820366,,2226,0.42241876
101,0.36696911,,2227,0.41948181
102,0.36585283,,2228,0.41678992
103,0.36486748,,2229,0.41450272
104,0.36401047,,2230,0.41268351
105,0.36328315,,2231,0.41174601
106,0.36270747,,2232,0.41154917
107,0.36228549,,2233,0.41227924
108,0.36199262,,2234,0.41338752
109,0.3618367,,2235,0.41532564
110,0.3618195,,2236,0.41792549
111,0.36195587,,2237,0.42055503
112,0.36222311,,2238,0.42340567
113,0.36263385,,2239,0.42619915
